Profile URL,Query
https://medicine.yale.edu/profile/danielle-antin-ozerkis/,Danielle Antin-Ozerkis Associate Professor of Medicine (Pulmonary) Yale Profile
https://medicine.yale.edu/profile/da492/,David Antonetti Assistant Clinical Professor of Medicine Yale Profile
https://medicine.yale.edu/profile/muhammad-anwer/,Muhammad Anwer Assistant Professor of Surgery (Cardiac) Yale Profile
https://medicine.yale.edu/profile/rima-aouad/,Rima Aouad Assistant Professor of Anesthesiology Yale Profile
https://medicine.yale.edu/profile/lydia-barakat/,Lydia Aoun-Barakat Associate Professor of Medicine (Infectious Diseases) Yale Profile
https://physics.yale.edu/people/thomas-appelquist,Thomas Appelquist Eugene Higgins Professor of Physics Yale Profile
https://medicine.yale.edu/profile/elena-aragona/,Elena Aragona Assistant Professor Yale Profile
https://medicine.yale.edu/profile/fabiola-arbelocruz/,Fabiola Arbelo Cruz Assistant Professor of Psychiatry Yale Profile
https://astronomy.yale.edu/people/hector-arce,Hector Arce Professor Yale Profile
https://medicine.yale.edu/profile/ha446/,Herbert Archer Assistant Clinical Professor of Medicine Yale Profile
https://economics.yale.edu/people/david-argente,David Argente Assistant Professor of Economics Yale Profile
https://medicine.yale.edu/profile/isibor-arhuidese/,"Isibor Arhuidese Assistant Professor of Surgery (Vascular), of Epidemiology (Chronic Diseases), and of Biomedical Informatics and Data Science Yale Profile"
https://medicine.yale.edu/profile/aydin-arici/,"Aydin Arici Professor of Obstetrics, Gynecology, and Reproductive Sciences Yale Profile"
https://medicine.yale.edu/profile/stephan-ariyan/,Stephan Ariyan Frank F. Kanthak Professor Emeritus of Surgery Yale Profile
https://economics.yale.edu/people/costas-arkolakis,Costas Arkolakis Professor Yale Profile
https://medicine.yale.edu/profile/angela-arlen/,Angela Arlen Associate Professor of Urology Yale Profile
https://medicine.yale.edu/profile/elizabeth-arleo/,Elizabeth Arleo Professor (Adjunct) of Radiology and Biomedical Imaging Yale Profile
https://medicine.yale.edu/profile/tichianaa-armah/,Tichianaa Armah Assistant Clinical Professor of Psychiatry Yale Profile
https://arthistory.yale.edu/people/carol-armstrong,Carol Armstrong Professor in the History of Art Yale Profile
https://ysph.yale.edu/profile/philip-armstrong/,Philip Armstrong Associate Professor Adjunct Yale Profile
https://medicine.yale.edu/profile/catharine-arnold/,Catharine Arnold Assistant Clinical Professor of Medicine (Rheumatology) Yale Profile
https://medicine.yale.edu/profile/amy-arnsten/,Amy Arnsten Albert E. Kent Professor of Neuroscience and Professor of Psychology Yale Profile
https://medicine.yale.edu/profile/anita-arora/,"Anita Arora Associate Professor of Medicine (General Medicine), Associate Chief Population Health Officer Yale Profile"
https://medicine.yale.edu/profile/aa936/,Ashish Arora Assistant Clinical Professor of Medicine (Pulmonary) Yale Profile
https://medicine.yale.edu/profile/ka438/,Kanwardeep Arora Assistant Clinical Professor of Medicine Yale Profile
https://medicine.yale.edu/profile/sandeep-arora/,Sandeep Arora Associate Professor of Radiology and Biomedical Imaging Yale Profile
https://medicine.yale.edu/internal-medicine/infdis/profile/sa62/,Steven Aronin Associate Clinical Professor of Medicine Yale Profile
https://ysph.yale.edu/profile/p-aronow/,P. Aronow Associate Professor Tenure of Political Science and in the Institute for Social and Policy Studies and of Public Health (Biostatistics) Yale Profile
https://medicine.yale.edu/profile/paul-aronson/,Paul Aronson Associate Professor of Pediatrics (Emergency Medicine) Yale Profile
https://medicine.yale.edu/profile/peter-aronson/,Peter Aronson C. N. H. Long Professor of Medicine (Nephrology) and Professor of Cellular And Molecular Physiology Yale Profile
https://medicine.yale.edu/profile/eric-arzubi/,Eric Arzubi Assistant Clinical Professor in the Child Study Center Yale Profile
https://medicine.yale.edu/profile/garrett-ash/,"Garrett Ash Assistant Professor of Medicine (General Medicine), Assistant Professor of Biomedical Informatics and Data Science Yale Profile"
https://medicine.yale.edu/profile/daniella-asch/,Daniella Asch Assistant Professor of Radiology and Biomedical Imaging Yale Profile
https://medicine.yale.edu/internal-medicine/nephrol/profile/william-asch/,William Asch Associate Professor of Medicine (Nephrology) Yale Profile
https://medicine.yale.edu/profile/roland-assi/,Roland Assi Assistant Professor of Surgery (Cardiac) Yale Profile
https://medicine.yale.edu/profile/vivian-asare/,"Vivian Asare Assistant Professor of Medicine (Pulmonary, Critical Care and Sleep Medicine) Yale Profile"
https://medicine.yale.edu/profile/jennifer-asher/,Jennifer Asher Associate Professor Term Yale Profile
https://medicine.yale.edu/profile/rummana-aslam/,Rummana Aslam Associate Professor of Orthopaedics and Rehabilitation Yale Profile
https://medicine.yale.edu/profile/andrea-asnes/,Andrea Asnes Professor of Pediatrics (General Pediatrics) Yale Profile
https://medicine.yale.edu/profile/jeremy-asnes/,Jeremy Asnes Associate Professor of Pediatrics (Cardiology) Yale Profile
https://medicine.yale.edu/psychiatry/profile/michal-assaf/,Michal Assaf Associate Professor (Adjunct) of Psychiatry Yale Profile
https://medicine.yale.edu/profile/david-assis/,David Assis Associate Professor of Medicine (Digestive Diseases) Yale Profile
https://environment.yale.edu/directory/faculty/mark-ashton,P Mark Ashton Morris K. Jesup Professor of Silviculture and Forest Ecology and Senior Associate Dean of the Forest School Yale Profile
https://medicine.yale.edu/profile/pa44/,Patrick Asiedu Assistant Clinical Professor of Medicine Yale Profile
https://medicine.yale.edu/profile/yetunde-asiedu/,Yetunde Asiedu Assistant Professor of Medicine (General Medicine) Yale Profile
https://cs.yale.edu/homes/aspnes/,James Aspnes Harold W. Cheel Professor of Computer Science Yale Profile
https://medicine.yale.edu/profile/philip-askenase/,Philip Askenase Professor of Medicine (Immunology) Yale Profile
https://medicine.yale.edu/profile/harry-aslanian/,Harry Aslanian Professor of Medicine (Digestive Diseases) Yale Profile
https://medicine.yale.edu/profile/dastrac/,David Astrachan Assistant Clinical Professor Yale Profile
https://medicine.yale.edu/profile/sania-atta/,Sania Atta Assistant Professor Yale Profile
https://medicine.yale.edu/profile/saa7/,Stephen Atlas Associate Clinical Professor of Medicine (General Medicine) Yale Profile
https://medicine.yale.edu/profile/andrew-atton/,Andrew Atton Assistant Clinical Professor of Dermatology Yale Profile
https://medicine.yale.edu/surgery/trauma/profile/nabil-atweh/,Nabil Atweh Associate Clinical Professor of Surgery (Trauma) Yale Profile
https://medicine.yale.edu/profile/pa372/,Prashanth Atluri Assistant Clinical Professor Yale Profile
https://medicine.yale.edu/profile/robert-attaran/,Robert Attaran Associate Professor of Medicine (Cardiovascular Medicine) Yale Profile
https://medicine.yale.edu/profile/lihi-atzmonymaoz/,Lihi Atzmony Maoz Assistant Professor Yale Profile
https://classics.yale.edu/people/harold-attridge,Harold Attridge Sterling Professor Emeritus of Divinity Yale Profile
https://economics.yale.edu/people/orazio-attanasio,Orazio Attanasio Cowles Professor of Economics Yale Profile
https://medicine.yale.edu/profile/akashdeep-aujla/,Akashdeep Aujla Assistant Clinical Professor in the Child Study Center and of Nursing Yale Profile
https://medicine.yale.edu/profile/arnaud-augert/,Arnaud Augert Assistant Professor Yale Profile
https://www.architecture.yale.edu/people/412-pier-vittorio-aureli,Pier Vittorio Aureli Visiting Professor of Architecture Yale Profile
https://medicine.yale.edu/profile/matthew-austin/,Matthew Austin Assistant Professor of Medicine (Medical Oncology) Yale Profile
https://medicine.yale.edu/profile/marc-auerbach/,Marc Auerbach Professor of Pediatrics (Emergency Medicine) and of Emergency Medicine Yale Profile
https://medicine.yale.edu/obgyn/profile/rdauerbach/,"Robert Auerbach Associate Clinical Professor of Obstetrics, Gynecology, and Reproductive Sciences Yale Profile"
https://law.yale.edu/susanne-augenhofer,Susanne Augenhofer Visiting Professor Yale Profile
https://french.yale.edu/people/ora-avni,Ora Avni Professor Emeritus of French Yale Profile
https://medicine.yale.edu/profile/david-aversa/,David Aversa Assistant Clinical Professor - Child Study Center Yale Profile
https://medicine.yale.edu/profile/lynnette-averill/,Lynnette Averill Assistant Professor Adjunct of Psychiatry Yale Profile
https://medicine.yale.edu/profile/michael-awad/,Michael Awad Assistant Professor Yale Profile
https://environment.yale.edu/news/article/yale-project-aims-to-propel-green-walls-into-mainstream,James Axley Professor Emeritus of Architecture Yale Profile
https://medicine.yale.edu/profile/ani-aydin/,Ani Aydin Associate Professor of Emergency Medicine Yale Profile
https://medicine.yale.edu/profile/paola-ayora/,Paola Ayora Assistant Professor of Child Psychiatry in the Child Study Center Yale Profile
https://law.yale.edu/ian-ayres,Ian Ayres Oscar M. Ruebhausen Professor of Law and Professor of Management Yale Profile
https://medicine.yale.edu/profile/ayotunde-ayobello/,Ayotunde Ayobello Assistant Professor of Child Psychiatry Yale Profile
https://yalemusic.yale.edu/people/zayaruznaya,AZ (A. Zayaruznaya) Associate Professor in the Music Department Yale Profile
